Ea,detaH,M4-O1,ang1,ang2,diangle
0.41,-0.46,3.557,53.146,53.173,56.199
2,1.09,2.847,94.38,94.38,0
0.9,0.03,3.504,59.371,57.607,-52.348
1.58,0.18,3.801,72.967,77.054,-33.303
1.14,-0.17,1.915,120.884,96.333,-42.158
1.01,-0.25,1.915,95.999,83.667,-6.185
1.26,0.16,1.915,120.884,96.351,42.142
1.34,0.19,2.052,94.016,85.984,0
0.73,-0.36,2.052,119.097,100.626,-20.8
0.96,0.09,1.914,119.438,96.635,-41.012
0.71,-0.6,1.914,96.672,82.842,-7.962
0.65,-0.4,3.596,53.88,53.579,53.134
0.88,-0.08,1.897,121.325,95.882,41.253
1.04,0.4,2.815,95.254,95.254,0
1.44,0.62,2.002,93.298,86.702,0
1.1,0.41,3.428,58.775,57.566,-52.877
0.97,0.3,2.002,120.608,99.393,-21.506
2.4,1.72,3.716,73.884,75.953,-33.819
